"par_1","par_2","par_3","par_4","par_5","par_6","par_7","par_8","par_9","par_10","par_11","par_12","par_13","par_14","par_15","par_16","par_17","par_18","par_19","par_20","par_21","par_22","par_23","par_24","par_25","par_26","par_27","par_28","par_mean","para_cont","para_exp","para_nl","con_1","con_2","con_3","con_4","con_5","con_mean","cred_1","cred_2","cred_3","cred_4","cred_5","cred_6","cred_mean","creds_cont","rel_spi","rel_cont","rel_group","rel_group_text","age","gender","education","urban","ses","mis","weight"
1,1,1,3,1,1,1,4,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.28571428571429,0,1,43,1,5,3,1,1,2.2,1,1,1,2,1,1,1.16666666666667,0,"not-religious-not-spiritual",0,NA,"",61,"Vrouw",7,"other",1,FALSE,0.2391458734868
1,3,1,1,3,1,3,1,4,3,4,1,1,1,1,1,1,4,2,1,1,1,1,3,3,4,1,5,2.03571428571429,5,1,50,5,1,1,1,4,2.4,1,1,1,1,2,1,1.16666666666667,5,"religious-spiritual",90,2,"",64,"Vrouw",6,"other",8,FALSE,0.501819533619084
3,3,3,4,3,3,1,1,1,2,1,1,2,3,1,1,1,3,1,1,1,1,1,2,2,3,1,1,1.82142857142857,40,1,40,4,5,4,4,4,4.2,1,1,1,1,1,1,1,0,"religious-not-spiritual",20,2,"",44,"Man",3,"other",5,FALSE,1.28885928797599
1,4,3,1,1,1,2,1,2,1,4,1,2,1,4,1,1,1,1,1,1,1,2,1,2,1,1,1,1.57142857142857,0,1,8,4,3,2,1,4,2.8,1,1,1,1,1,1,1,0,"not-religious-not-spiritual",0,NA,"",74,"Man",6,"other",6,FALSE,0.123290852046598
1,1,1,1,3,1,1,3,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.25,0,1,20,4,1,1,3,1,2,1,1,1,1,1,1,1,0,"not-religious-not-spiritual",0,NA,"",87,"Man",7,"big cities",9,FALSE,0.249930552015359
2,2,1,1,4,2,1,1,2,2,2,2,2,2,2,1,3,1,2,1,1,1,3,1,3,1,1,2,1.75,25,2,30,2,2,2,3,3,2.4,1,1,1,1,1,1,1,1,"not-religious-not-spiritual",10,1,"",67,"Vrouw",8,"big cities",7,FALSE,2.26624302560209
3,3,3,3,4,4,2,3,3,2,5,1,3,3,2,1,2,4,2,2,1,1,2,3,2,2,2,2,2.5,20,2,60,3,4,2,2,3,2.8,1,1,1,1,1,2,1.16666666666667,10,"not-religious-not-spiritual",0,NA,"",64,"Man",7,"other",9,FALSE,0.333185063234531
1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1.07142857142857,NA,1,NA,3,4,3,3,3,3.2,1,1,1,1,1,1,1,NA,"not-religious-not-spiritual",0,NA,"",82,"Vrouw",4,"big cities",7,FALSE,0.478729787159231
1,1,1,1,1,1,1,4,1,1,1,1,3,1,1,1,3,1,4,1,1,1,3,1,1,1,1,1,1.42857142857143,0,1,4,3,3,1,1,1,1.8,1,1,1,1,1,1,1,0,"not-religious-not-spiritual",0,NA,"",59,"Man",6,"other",7,FALSE,0.91777273986977
1,1,1,1,2,1,1,1,1,1,3,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1.17857142857143,0,1,30,3,3,2,1,1,2,1,1,1,1,1,1,1,0,"not-religious-not-spiritual",0,NA,"",73,"Vrouw",7,"other",7,FALSE,0.189499094999887
1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.03571428571429,0,1,45,3,3,1,1,1,1.8,1,1,1,1,1,1,1,0,"religious-not-spiritual",9,1,"",67,"Man",8,"other",8,FALSE,0.236346901385758
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,0,"not-religious-not-spiritual",0,NA,"",64,"Vrouw",7,"other",8,FALSE,1.11944742207855
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,29,1,1,1,1,1,1,1,1,1,1,1,1,1,0,"not-religious-not-spiritual",0,NA,"",64,"Man",7,"other",8,FALSE,0.159095217313419
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,3,40,5,5,2,1,3,3.2,1,1,1,1,1,1,1,4,"not-religious-not-spiritual",20,1,"",66,"Man",5,"other",6,FALSE,0.20813850686784
1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1.17857142857143,10,1,20,4,4,2,2,1,2.6,1,1,1,1,1,1,1,11,"religious-not-spiritual",50,1,"",43,"Man",8,"other",8,FALSE,2.68898465145629
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,30,2,3,1,1,1,1.6,1,1,1,1,1,1,1,0,"religious-not-spiritual",55,2,"",65,"Vrouw",7,"other",7,FALSE,0.337994848889061
3,1,2,1,3,2,3,1,3,2,3,1,3,2,3,1,3,2,2,2,1,1,3,3,3,1,2,2,2.10714285714286,10,1,30,4,4,2,2,3,3,1,1,1,1,1,1,1,10,"religious-not-spiritual",20,1,"",72,"Man",5,"other",5,FALSE,3.15270318378199
1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,3,1,3,1,1,1,1.32142857142857,10,1,30,3,4,3,1,1,2.4,1,1,1,2,1,1,1.16666666666667,10,"not-religious-not-spiritual",21,8,"Geen maar gereformeerd opgevoed",30,"Vrouw",7,"other",7,FALSE,1.08448873168249
2,1,1,1,2,1,2,1,2,2,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1.28571428571429,10,2,40,2,3,1,1,2,1.8,1,1,1,1,2,1,1.16666666666667,10,"not-religious-not-spiritual",0,NA,"",57,"Man",7,"other",9,FALSE,0.531356940010248
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,13,1,5,1,1,1,1.8,1,1,1,1,1,1,1,0,"not-religious-not-spiritual",0,NA,"",77,"Vrouw",6,"big cities",6,FALSE,0.147101552122564
2,2,1,2,4,3,3,3,3,2,4,5,3,3,4,1,2,3,1,2,1,1,2,1,3,2,1,2,2.35714285714286,76,3,49,5,5,4,2,5,4.2,1,1,1,1,1,1,1,0,"not-religious-spiritual",0,NA,"",68,"Vrouw",6,"other",8,FALSE,0.841954345728062
2,3,2,1,1,2,2,1,2,2,2,2,3,1,1,1,3,1,1,1,2,1,2,1,2,1,2,3,1.71428571428571,20,1,30,3,4,3,2,3,3,1,1,1,1,2,2,1.33333333333333,22,"not-religious-spiritual",8,1,"",67,"Vrouw",7,"other",6,FALSE,0.151144644342792
